Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:12:11.745,114360.1,0.002,BTCUSDT
2025-09-30 00:12:11.802,114360.1,0.003,BTCUSDT
2025-09-30 00:12:11.805,114360.0,0.002,BTCUSDT
2025-09-30 00:12:11.862,114360.1,0.003,BTCUSDT
2025-09-30 00:12:11.966,114360.0,0.035,BTCUSDT
2025-09-30 00:12:11.966,114360.0,0.001,BTCUSDT
2025-09-30 00:12:11.966,114360.0,0.006,BTCUSDT
2025-09-30 00:12:11.966,114360.0,0.045,BTCUSDT
2025-09-30 00:12:12.746,114360.1,0.043,BTCUSDT
2025-09-30 00:12:12.872,114360.1,0.025,BTCUSDT
2025-09-30 00:12:12.877,114360.0,0.001,BTCUSDT
2025-09-30 00:12:12.877,114360.0,0.002,BTCUSDT
2025-09-30 00:12:12.906,114360.0,0.075,BTCUSDT
2025-09-30 00:12:12.906,114360.0,0.012,BTCUSDT
2025-09-30 00:12:12.953,114360.0,0.011,BTCUSDT
2025-09-30 00:12:13.040,114360.0,0.009,BTCUSDT
2025-09-30 00:12:13.382,114360.0,0.005,BTCUSDT
2025-09-30 00:12:13.409,114360.0,0.007,BTCUSDT
2025-09-30 00:12:13.539,114360.1,0.009,BTCUSDT
2025-09-30 00:12:13.567,114360.1,0.002,BTCUSDT
2025-09-30 00:12:13.920,114360.0,0.043,BTCUSDT
2025-09-30 00:12:13.920,114360.0,0.004,BTCUSDT
2025-09-30 00:12:13.920,114360.0,0.04,BTCUSDT
2025-09-30 00:12:14.215,114360.1,0.001,BTCUSDT
2025-09-30 00:12:14.300,114360.1,0.006,BTCUSDT
2025-09-30 00:12:14.439,114360.0,0.001,BTCUSDT
2025-09-30 00:12:14.539,114360.1,0.011,BTCUSDT
2025-09-30 00:12:14.711,114360.1,0.08,BTCUSDT
2025-09-30 00:12:14.993,114360.0,0.087,BTCUSDT
2025-09-30 00:12:15.029,114360.0,0.259,BTCUSDT
2025-09-30 00:12:15.352,114360.1,0.009,BTCUSDT
2025-09-30 00:12:15.670,114360.0,0.05,BTCUSDT
2025-09-30 00:12:15.974,114360.0,0.087,BTCUSDT
2025-09-30 00:12:16.031,114360.0,0.022,BTCUSDT
2025-09-30 00:12:16.298,114360.1,0.101,BTCUSDT
2025-09-30 00:12:16.824,114360.0,0.001,BTCUSDT
2025-09-30 00:12:17.061,114360.1,0.011,BTCUSDT
2025-09-30 00:12:17.102,114360.0,0.087,BTCUSDT
2025-09-30 00:12:17.307,114360.0,0.009,BTCUSDT
2025-09-30 00:12:17.462,114360.1,0.218,BTCUSDT
2025-09-30 00:12:17.512,114360.0,0.067,BTCUSDT
2025-09-30 00:12:17.555,114360.0,0.004,BTCUSDT
2025-09-30 00:12:17.625,114360.0,0.04,BTCUSDT
2025-09-30 00:12:17.665,114360.1,0.015,BTCUSDT
2025-09-30 00:12:17.725,114360.0,0.001,BTCUSDT
2025-09-30 00:12:17.727,114360.0,0.008,BTCUSDT
2025-09-30 00:12:17.772,114360.1,0.002,BTCUSDT
2025-09-30 00:12:18.146,114360.0,0.087,BTCUSDT
2025-09-30 00:12:18.311,114360.0,0.004,BTCUSDT
2025-09-30 00:12:18.366,114360.1,0.002,BTCUSDT
2025-09-30 00:12:18.465,114360.0,0.001,BTCUSDT
2025-09-30 00:12:18.496,114360.0,0.024,BTCUSDT
2025-09-30 00:12:18.511,114360.1,0.001,BTCUSDT
2025-09-30 00:12:19.072,114360.0,0.008,BTCUSDT
2025-09-30 00:12:19.077,114360.1,0.008,BTCUSDT
2025-09-30 00:12:19.244,114360.0,0.002,BTCUSDT
